#exchange reactions
R001ex	1 C00001[e] <->
R002ex	1 C00009[e] <-
R003ex	1 C00089[e] <-
R004ex	1 C00014[e] <-
R005ex	1 C00059[e] <-
R006ex	1 C00080[e] <->
R007ex	1 C00011[e] ->
R008ex	1 C00007[e] <-
R009ex	1 C00469[e] <->
R010ex	1 C00033[e] <-
R011ex	1 C00031[e] <-
R012ex	1 C00366[e] ->
#synthesis of biomass components
protein_syn	0.14613 C00049[c] + 0.15371 C00025[c] + 0.22294 C00041[c] + 0.17484 C00037[c] + 0.10126 C00064[c] + 0.08887 C00152[c] + 0.15713 C00148[c] + 0.03297 C00097[c] + 0.16063 C00062[c] + 0.05566 C00073[c] + 0.2067 C00065[c] + 0.03822 C00078[c] + 0.15021 C00188[c] + 0.06317 C00135[c] + 0.09533 C00079[c] + 0.07351 C00082[c] + 0.16131 C00183[c] + 0.23243 C00123[c] + 0.12286 C00407[c] + 0.1126 C00047[c] -> 1 C00017[c]
lipid_syn	0.147601 C00249[im] + 0.173432 C01530[im] + 0.01476 C06425[im] + 0.369004 C00712[im] + 0.295203 C01595[im] -> 1 C01356[im]
cell_syn	 0.02795 C00075[c] + 0.03051 C00044[c] + 0.0015 C00182[c] + 0.076 C00116[c] + 0.06168 C00422[c] + 0.03399 C00350[c] + 0.01378 C02737[c] + 0.02091 C00063[c] + 0.03153 C01356[c] + 2.55048 C00017[c] + 0.00431 C00286[c] + 0.00398 C00131[c] + 0.00431 C00458[c] + 0.00398 C00459[c] -> 1 cell[c]
cell_wall_syn	73.7 C00965[e] + 2.9 C01356[e] + 1.9 C17937DHN[e] + 1.9 C17937Eu[e] + 1.9 C17937Pyo[e] + 8.3 C00017[e] + 3.2 C00140[e] + 1.1 C00461[e] -> 1 cell_wall[e]
carotenoidDep	0.00521539 C02094[c] + 0.028172568 C19892[c] + 0.036692575 C08607[c] -> 1 carotenoids[c]
biomass_wt_37	71.4 C00001[c] + 71.4 C00002[c] + 0.014431814 cell_wall[e] + 0.107001573 cell[c] + 0.070023849 carotenoids[c] -> 71.4 C00080[c] + 71.4 C00009[c] + 71.4 C00008[c] + 1 biomass
biomass_si	1 biomass ->
ATPM	1 C00002[c] + 1 C00001[c] -> 1 C00008[c] + 1 C00009[c]
#Terpeniod backbone synthesis pathway
R01978[c]	1 C00356[c] + 1 C00010[c] <- 1 C00024[c] + 1 C00001[c] + 1 C00332[c]
R02061[c]	1 C00448[c] + 1 C00129[c] -> 1 C00013[c] + 1 C00353[c]
R01121[c]	1 C00002[c] + 1 C01143[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00129[c] + 1 C00011[c]
R02082[c]	1 C00418[c] + 1 C00010[c] + 2 C00006[c] <-> 1 C00356[c] + 2 C00005[c] + 2 C00080[c]
R02245[c]	1 C00002[c] + 1 C00418[c] <-> 1 C00008[c] + 1 C01107[c]
R03245[c]	1 C00002[c] + 1 C01107[c] <-> 1 C00008[c] + 1 C01143[c]
R04496[c]	1 C00019[c] + 1 C04506[c] <-> 1 C00021[c] + 1 C04748[c]
R05556[c]	1 C00448[c] + 1 C00129[c] <-> 1 C05859[c] + 1 C00013[c]
R06447[c]	1 C00448[c] + 8 C00129[c] <-> 1 C04574[c] + 8 C00013[c]
R09847[c]	1 C04748[c] <-> 1 C19691[c]
R09562[c]	1 C19691[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C03461[c] + 1 C00097[c] + 1 C00027[c]
R09845[c]	1 C20120[c] + 1 C00001[c] <-> 1 C04506[c] + 1 C00012[c]
R09844[c]	1 C00448[c] + 1 C00097[c] <-> 1 C20120[c] + 1 C00013[c]
#carotenoid synthesis pathway
