#exchange reactions
R001ex	1 h2o[e] <->
R002ex	1 pi[e] <-
R003ex	1 sucr[e] <-
R004ex	1 nh4[e] <-
R005ex	1 so4[e] <-
R006ex	1 h[e] <->
R007ex	1 co2[e] ->
R008ex	1 o2[e] <-
R009ex	1 etoh[e] <->
R010ex	1 ac[e] <-
R011ex	1 glc__D[e] <-
R012ex	1 urate[e] ->
#synthesis of biomass components
protein_syn	0.14613 asp__L[c] + 0.15371 glu__L[c] + 0.22294 ala__L[c] + 0.17484 gly[c] + 0.10126 gln__L[c] + 0.08887 asn__L[c] + 0.15713 pro__L[c] + 0.03297 cys__L[c] + 0.16063 arg__L[c] + 0.05566 met__L[c] + 0.2067 ser__L[c] + 0.03822 trp__L[c] + 0.15021 thr__L[c] + 0.06317 his__L[c] + 0.09533 phe__L[c] + 0.07351 tyr__L[c] + 0.16131 val__L[c] + 0.23243 leu__L[c] + 0.12286 ile__L[c] + 0.1126 lys__L[c] -> 1 C00017[c]
lipid_syn	0.147601 hdca[im] + 0.173432 ocdca[im] + 0.01476 arach[im] + 0.369004 ocdcea[im] + 0.295203 lnlc[im] -> 1 C01356[im]
cell_syn	 0.02795 C00075[c] + 0.03051 C00044[c] + 0.0015 C00182[c] + 0.076 C00116[c] + 0.06168 C00422[c] + 0.03399 C00350[c] + 0.01378 C02737[c] + 0.02091 C00063[c] + 0.03153 C01356[c] + 2.55048 C00017[c] + 0.00431 C00286[c] + 0.00398 C00131[c] + 0.00431 C00458[c] + 0.00398 C00459[c] -> 1 cell[c]
cell_wall_syn	73.7 C00965[e] + 2.9 C01356[e] + 1.9 C17937DHN[e] + 1.9 C17937Eu[e] + 1.9 C17937Pyo[e] + 8.3 C00017[e] + 3.2 acgam[e] + 1.1 chtn[e] -> 1 cell_wall[e]
carotenoidDep	0.00521539 caro[c] + 0.028172568 C19892[c] + 0.036692575 C08607[c] -> 1 carotenoids[c]
biomass_wt_37	71.4 h2o[c] + 71.4 atp[c] + 0.014431814 cell_wall[e] + 0.107001573 cell[c] + 0.070023849 carotenoids[c] -> 71.4 h[c] + 71.4 pi[c] + 71.4 adp[c] + 1 biomass
biomass_si	1 biomass ->
ATPM	1 atp[c] + 1 h2o[c] -> 1 adp[c] + 1 pi[c]
#Terpeniod backbone synthesis pathway
R01978[c]	1 C00356[c] + 1 coa[c] <- 1 accoa[c] + 1 h2o[c] + 1 aacoa[c]
GGPS_11	1 frdp[c] + 1 ipdp[c] -> 1 ppi[c] + 1 ggdp[c]
DPMVD1	1 atp[c] + 1 5dpmev[c] -> 1 adp[c] + 1 pi[c] + 1 ipdp[c] + 1 co2[c]
R02082[c]	1 mev__R[c] + 1 coa[c] + 2 nadp[c] <-> 1 C00356[c] + 2 nadph[c] + 2 h[c]
MEVK1x1	1 atp[c] + 1 mev__R[c] <-> 1 adp[c] + 1 5pmev[c]
PMEVK1	1 atp[c] + 1 5pmev[c] <-> 1 adp[c] + 1 5dpmev[c]
R04496[c]	1 amet[c] + 1 C04506[c] <-> 1 ahcys[c] + 1 C04748[c]
R05556[c]	1 frdp[c] + 1 ipdp[c] <-> 1 C05859[c] + 1 ppi[c]
R06447[c]	1 frdp[c] + 8 ipdp[c] <-> 1 dtpcudcpp[c] + 8 ppi[c]
