"Trial number","trial code","growth rate","X00001[c]","C04033[c]","C00779[c]","C01173[c]","C01624[c]","C00083[c]","C17937DHN[e]","C05578[e]","C05579[e]","C01693[e]","C05604[e]","C00355[c]","C00822[c]","C00082[c]","C17937Eu[e]","C00544[c]","X00002[c]","C01179[c]","C17937Pyo[e]","C00353[c]","C03427[c]","C05421[c]","C05414[c]","C05430[c]","C05431[c]","C05432[c]","C05435[c]","C15867[c]","C08613[c]","C02094[c]","C19892[c]","C08607[c]","C00097[c]","Model Status"
1.00,"SCL",0.02613724,-0.16068492,-0.16022385,-0.16252923,-0.16252923,-0.16483461,-0.37277980,-0.16068492,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.09982292,-0.09982292,-0.09982292,-0.09982292,-0.40148177,-0.78970761,-0.77645168,-0.77184093,-0.76723017,-0.77184093,-0.77645168,-0.77645168,-0.77184093,-0.77184093,-0.77645168,-0.67708984,-0.67893415,-0.05429168,1.00
2.00,"SCM",0.05227447,-0.16068492,-0.16022385,-0.16252923,-0.16252923,-0.16483461,-0.37277980,-0.16068492,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.09982292,-0.09982292,-0.09982292,-0.09982292,-0.40148177,-0.78970761,-0.77645168,-0.77184093,-0.76723017,-0.77184093,-0.77645168,-0.77645168,-0.77184093,-0.77184093,-0.77645168,-0.67708984,-0.67893415,-0.05429168,1.00
3.00,"SCH",0.10454894,-0.16068492,-0.16022385,-0.16252923,-0.16252923,-0.16483461,-0.37277980,-0.16068492,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.10570163,-0.09982292,-0.09982292,-0.09982292,-0.09982292,-0.40148177,-0.78970761,-0.77645168,-0.77184093,-0.76723017,-0.77184093,-0.77645168,-0.77645168,-0.77184093,-0.77184093,-0.77645168,-0.67708984,-0.67893415,-0.05429168,1.00
4.00,"ECL",0.01674163,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.70314864,-0.05580545,1.00
5.00,"ECM",0.03348327,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.70314864,-0.05580545,1.00
6.00,"ECH",0.06696654,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.70314864,-0.05580545,1.00
7.00,"ACL",0.01674163,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.70314864,-0.05580545,1.00
8.00,"ACM",0.03348327,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.70314864,-0.05580545,1.00
9.00,"ACH",0.06696654,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.16741634,-0.43156213,-0.16741634,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.14881453,-0.13765344,-0.13765344,-0.13765344,-0.13765344,-0.41296031,-0.81475954,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.80359845,-0.70314864,-0.05580545,1.00
10.00,"GCL",0.02376430,-0.11882152,-0.11882152,-0.11882152,-0.11882152,-0.11882152,-0.37230743,-0.11882152,-0.11486080,-0.11486080,-0.11486080,-0.11486080,-0.11486080,-0.11486080,-0.11486080,-0.11486080,-0.10297865,-0.10297865,-0.10297865,-0.10297865,-0.29705380,-0.58222545,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.57034330,-0.49905039,-0.49905039,-0.05941076,1.00
