#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus tag,Protein product,Length,Protein name
Un,NW_008751646.1,2411,6250,-,20304640,HMPREF1120_00001,XP_009152235.1,1074,5-carboxymethyl-2-hydroxymuconate isomerase
Un,NW_008751646.1,6650,8380,-,20304641,HMPREF1120_00002,XP_009152236.1,576,hypothetical protein HMPREF1120_00002
Un,NW_008751646.1,9273,9856,-,20304642,HMPREF1120_00003,XP_009152237.1,153,hypothetical protein HMPREF1120_00003
Un,NW_008751646.1,10701,13130,+,20304643,HMPREF1120_00004,XP_009152238.1,736,hypothetical protein HMPREF1120_00004
Un,NW_008751646.1,14289,15656,+,20304644,HMPREF1120_00005,XP_009152239.1,455,MFS transporter; MCP family; solute carrier family 16 (monocarboxylic acid transporters); member 10
Un,NW_008751646.1,16039,17898,-,20304645,HMPREF1120_00006,XP_009152240.1,470,1-aminocyclopropane-1-carboxylate synthase
Un,NW_008751646.1,18695,20464,+,20304646,HMPREF1120_00007,XP_009152241.1,589,hypothetical protein HMPREF1120_00007
Un,NW_008751646.1,21510,23486,+,20304647,HMPREF1120_00008,XP_009152242.1,576,AAT family amino acid transporter
Un,NW_008751646.1,24277,24959,+,20304648,HMPREF1120_00009,XP_009152243.1,130,endoribonuclease L-PSP
Un,NW_008751646.1,25655,27889,-,20304649,HMPREF1120_00010,XP_009152244.1,744,hypothetical protein HMPREF1120_00010
Un,NW_008751646.1,31537,32367,-,20304650,HMPREF1120_00011,XP_009152245.1,260,hypothetical protein HMPREF1120_00011
Un,NW_008751646.1,33002,34658,-,20304651,HMPREF1120_00012,XP_009152246.1,497,MFS transporter; DHA2 family; methylenomycin A resistance protein
Un,NW_008751646.1,35625,36266,-,20304652,HMPREF1120_00013,XP_009152247.1,213,hypothetical protein HMPREF1120_00013
Un,NW_008751646.1,37410,40155,-,20304653,HMPREF1120_00014,XP_009152248.1,899,hypothetical protein HMPREF1120_00014
Un,NW_008751646.1,40509,43121,+,20304654,HMPREF1120_00015,XP_009152249.1,854,DNA mismatch repair protein MLH3
Un,NW_008751646.1,44955,47169,+,20304655,HMPREF1120_00016,XP_009152250.1,687,hypothetical protein HMPREF1120_00016
Un,NW_008751646.1,48297,51443,+,20304656,HMPREF1120_00017,XP_009152251.1,1048,hypothetical protein HMPREF1120_00017
Un,NW_008751646.1,51962,53011,-,20304657,HMPREF1120_00018,XP_009152252.1,349,hypothetical protein HMPREF1120_00018
Un,NW_008751646.1,53470,54932,-,20304658,HMPREF1120_00019,XP_009152253.1,450,hypothetical protein HMPREF1120_00019
Un,NW_008751646.1,55538,56128,-,20304659,HMPREF1120_00020,XP_009152254.1,196,hypothetical protein HMPREF1120_00020
Un,NW_008751646.1,57326,59111,+,20304660,HMPREF1120_00021,XP_009152255.1,544,hypothetical protein HMPREF1120_00021
Un,NW_008751646.1,59200,60201,-,20304661,HMPREF1120_00022,XP_009152256.1,292,tRNA (guanine-N7-)-methyltransferase
Un,NW_008751646.1,60708,63778,-,20304662,HMPREF1120_00023,XP_009152257.1,1006,hypothetical protein HMPREF1120_00023
Un,NW_008751646.1,64243,65010,+,20304664,HMPREF1120_00025,XP_009152259.1,255,lysophospholipase II
Un,NW_008751646.1,65999,67652,-,20304663,HMPREF1120_00024,XP_009152258.1,533,MFS transporter; DHA1 family; multidrug resistance protein
Un,NW_008751646.1,68902,70801,-,20304665,HMPREF1120_00026,XP_009152260.1,598,gamma-glutamyltransferase
Un,NW_008751646.1,73542,76235,+,20304666,HMPREF1120_00027,XP_009152261.1,897,two-component system; NarL family; sensor histidine kinase BarA
Un,NW_008751646.1,76668,77427,-,20304667,HMPREF1120_00028,XP_009152262.1,212,hypothetical protein HMPREF1120_00028
Un,NW_008751646.1,78169,80178,+,20304668,HMPREF1120_00029,XP_009152263.1,669,ferric-chelate reductase
Un,NW_008751646.1,81895,83781,+,20304669,HMPREF1120_00030,XP_009152264.1,610,methionyl-tRNA synthetase
Un,NW_008751646.1,84231,85354,+,20304670,HMPREF1120_00031,XP_009152265.1,354,hypothetical protein HMPREF1120_00031
Un,NW_008751646.1,86653,88947,-,20304671,HMPREF1120_00032,XP_009152266.1,764,hypothetical protein HMPREF1120_00032
Un,NW_008751646.1,90369,94420,+,20304672,HMPREF1120_00033,XP_009152267.1,1334,solute carrier family 12 member 2
Un,NW_008751646.1,94757,95242,-,20304673,HMPREF1120_00034,XP_009152268.1,118,30S ribosomal protein S13
Un,NW_008751646.1,95606,96337,+,20304674,HMPREF1120_00035,XP_009152269.1,208,peptidyl-prolyl cis-trans isomerase B
Un,NW_008751646.1,96378,96647,+,20304675,HMPREF1120_00036,XP_009152270.1,89,hypothetical protein HMPREF1120_00036
Un,NW_008751646.1,97617,99724,+,20304676,HMPREF1120_00037,XP_009152271.1,661,ATP-dependent RNA helicase ded1
Un,NW_008751646.1,101981,103479,+,20304677,HMPREF1120_00038,XP_009152272.1,378,aryl-alcohol dehydrogenase AAD14
Un,NW_008751646.1,105693,106340,-,20304678,HMPREF1120_00039,XP_009152273.1,215,hypothetical protein HMPREF1120_00039
Un,NW_008751646.1,106899,108102,+,20304679,HMPREF1120_00040,XP_009152274.1,380,branched-chain amino acid aminotransferase
Un,NW_008751646.1,108520,109867,-,20304680,HMPREF1120_00041,XP_009152275.1,428,hypothetical protein HMPREF1120_00041
Un,NW_008751646.1,110765,111311,+,20304681,HMPREF1120_00042,XP_009152276.1,165,hypothetical protein HMPREF1120_00042
Un,NW_008751646.1,111478,112223,-,20304682,HMPREF1120_00043,XP_009152277.1,225,hypothetical protein HMPREF1120_00043
Un,NW_008751646.1,113233,114084,-,20304683,HMPREF1120_00044,XP_009152278.1,227,small nuclear ribonucleoprotein B and B\'
Un,NW_008751646.1,114563,115166,+,20304684,HMPREF1120_00045,XP_009152279.1,175,60S ribosomal protein L11
