Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number,Function [CC],Enzyme regulation
H6BPH7,H6BPH7_EXODN,unreviewed,Pentafunctional AROM polypeptide [Includes: Shikimate dehydrogenase (EC 1.1.1.25); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)],HMPREF1120_01768,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1624,1.1.1.25; 2.7.1.71; 4.2.1.10; 2.5.1.19; 4.2.3.4,FUNCTION: The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis. {ECO:0000256|HAMAP-Rule:MF_03143; ECO:0000256|PIRNR:PIRNR000514; ECO:0000256|SAAS:SAAS00069304}.,
H6BRH2,H6BRH2_EXODN,unreviewed,Serine/threonine-protein phosphatase (EC 3.1.3.16),HMPREF1120_02154,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),324,3.1.3.16,,
H6BV32,H6BV32_EXODN,unreviewed,Transcription elongation factor SPT6,HMPREF1120_03937,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1422,,,
H6C3X0,H6C3X0_EXODN,unreviewed,ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3),GET3 HMPREF1120_06347,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),342,3.6.-.-,FUNCTION: ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors; where the tail-anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state; facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently; the homodimer reverts towards the open dimer state; lowering its affinity for the membrane-bound receptor; and returning it to the cytosol to initiate a new round of targeting. {ECO:0000256|HAMAP-Rule:MF_03112}.,
H6BPT1,H6BPT1_EXODN,unreviewed,Ubiquitin-conjugating enzyme E2 2,HMPREF1120_01868,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),151,,,
H6C2P3,H6C2P3_EXODN,unreviewed,Cyclin-dependent kinase 1,HMPREF1120_05981,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),333,,,
H6BMK0,H6BMK0_EXODN,unreviewed,Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase),BNA5 HMPREF1120_01228,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),468,3.7.1.3,FUNCTION: Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3-hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3-hydroxyanthranilic acid (3-OHAA); respectively. {ECO:0000256|HAMAP-Rule:MF_03017; ECO:0000256|PIRNR:PIRNR038800}.,
H6CBY5,H6CBY5_EXODN,unreviewed,Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase),ADK1 HMPREF1120_09216,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),273,2.7.4.3,FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways. {ECO:0000256|SAAS:SAAS00002005}.,
H6CB58,H6CB58_EXODN,unreviewed,Proliferating cell nuclear antigen,HMPREF1120_08945,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),602,,FUNCTION: This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand. {ECO:0000256|RuleBase:RU000641}.,
H6BKX2,H6BKX2_EXODN,unreviewed,ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1),PIF1 HMPREF1120_00965,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),798,3.6.4.12,FUNCTION: DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability. {ECO:0000256|HAMAP-Rule:MF_03176}.,
